word,phoneme,en_short,vi,hint_level
absorber,/əbˈzɔɹbɝ/,a science term,吸收器,1
absorption,"/əbˈsɔɹpʃən/, /əbˈzɔɹpʃən/",state of complete attention,吸收,4
absorbency,/əbˈzɔɹbənsi/,the ability to take in liquid,吸水性,1
abstainer,,one who denies oneself,禁欲者,1
abstemiousness,,a moderate way to consume,节制,1
abstention,"/æbˈstɛntʃən/, /əbˈstɛntʃən/",act of choosing not to do,弃权,1
abstinence,/ˈæbstənəns/,the act of not doing something,节制,2
abstractness,,thought of apart from reality,抽象性,1
abstraction,/æbˈstɹækʃən/,state of not paying attention,抽象,3
abstruseness,,quality of being unclear,深奥,1
absurdity,/əbˈsɝdəti/,a foolish action,荒谬,4
abundance,/əˈbəndəns/,a large amount,丰富,4
abuser,/əbˈjuzɝ/,one who treats another badly,施虐者,2
abuse,"/əbˈjus/, /əbˈjuz/",act of using too many of drugs,虐待,4
abutter,,owner of connected property,黄油,1
abutment,,structure that supports,邻接,1
abyss,/əˈbɪs/,a deep hole,深渊,1
acacia,/əˈkeɪʃə/,a tree in warm regions,金合欢,1
academia,/ˌækəˈdimiə/,the community of education,学术界,2
academic,/ˌækəˈdɛmɪk/,having no practical importance,学术的,5
academy,/əˈkædəmi/,a private high school,学院,4
acceleration,/ˌækˌsɛɫɝˈeɪʃən/,act of moving or happening faster,加速度,4
accelerator,/ækˈsɛɫɝˌeɪtɝ/,a pedal to make a vehicle go,加速器,3
accent,"/ˈækˌsɛnt/, /əkˈsɛnt/",a mark to show a sound,口音,4
accentuation,,the use of stress when talking,强调,1
acceptability,/əkˌsɛptəˈbɪɫəti/,the state of being sufficient,可接受性,3
acceptance,"/ækˈsɛptəns/, /əkˈsɛptəns/",the state of being approved,验收,4
accessibility,/ˌæksɛsəˈbɪɫɪti/,quality of being available,可达性,3
accession,/əkˈsɛʃən/,the act of coming to power,加入,3
accessory,/ækˈsɛsɝi/,one who helps in a crime,配饰,4
acclaim,/əˈkɫeɪm/,strong approval or praise,欢呼,4
acclamation,/ˌækɫəˈmeɪʃən/,strong approval,鼓掌,1
acclimation,/ˌækɫəˈmeɪʃən/,adjusting to a new climate,适应环境,1
acclimatization,,act of adapting to a climate,适应环境,1
acclimatisation,,act of adapting to a climate,适应环境,1
accolade,/ˈækəˌɫeɪd/,an award or expression of praise,荣誉,1
accommodation,/əˌkɑməˈdeɪʃən/,a place where people can stay,住宿,5
accompaniment,"/əˈkəmpnimənt/, /əˈkəmpnɪmənt/",music played to support,伴奏,3
accompanist,/əˈkəmpənəst/,one who gives musical support,伴奏者,1
accomplice,/əˈkɑmpɫəs/,a partner in crime,同案犯,2
accomplishment,/əˈkɑmpɫɪʃmənt/,a skill gained by practice,成就,4
accord,/əˈkɔɹd/,to give something to another,符合,4
of its own accord,,a thing happens on its own,自行,1
of your own accord,,to do because one wants to,自愿的,1
accordance,/əˈkɔɹdəns/,agreement,按照,4
accordion,/əˈkɔɹdiən/,a musical instrument,手风琴,1
accordionist,,a kind of musician,手风琴家,1
bring/call (someone) to account,,to require to explain and accept punishment,带来/打电话给（某人）帐户,1
by/from all accounts,,according to all descriptions,由/来自所有帐户,1
by your own account,,according to what one has said,通过您自己的帐户,1
give a good account of yourself,,to perform well,好好介绍一下自己,1
on someone's account,,because of one,在某人的帐户上,1
on your own account,,on your own,在您自己的帐户上,1
take (something) into account,,consider,考虑（某事）,1
turn (something) to (good) account,,to gain from,将（某物）转入（好的）账户,1
accountability,"/əˈkaʊnəbɪɫɪti/, /əˈkaʊntəˌbɪɫɪti/",responsibility,问责制,4
accountant,/əˈkaʊntənt/,a keeper of financial records,会计,4
accoutrement,/əˈkutɝmənt/,a piece for a specific activity,装备,1
accreditation,/əˌkɹɛdəˈteɪʃən/,the act of giving recognition,认可,3
accretion,/əˈkɹiʃən/,growth by slow addition,吸积,1
accrual,/əˈkɹuəɫ/,the act of gathering,应计,1
accumulation,/əkˌjumjəˈɫeɪʃən/,an increase by addition,积累,4
accuracy,/ˈækjɝəsi/,ability to work without errors,准确性,4
accusation,"/ˌækjəˈzeɪʃən/, /ˌækjuˈzeɪʃən/",a claim for a crime,指控,4
accusative,/əkˈjuzətɪv/,a grammar term,宾格,1
accuser,/əkˈjuzɝ/,one attributing blame,原告,2
accused,/əkˈjuzd/,one charged with a crime,被告,3
ace,/ˈeɪs/,to score a point on,高手,4
an ace in the hole,,a secret advantage,底下有一张王牌,1
hold all the aces,,to have an advantage over,持有所有王牌,1
within an ace of,,very near to,在一张王牌之内,1
acetaminophen,/əˌsitəˈmɪnəfən/,a medicine that reduces pain,对乙酰氨基酚,1
acetylene,/əˈsɛtəˌɫin/,a gas without color,乙炔,1
ache,/ˈeɪk/,a steady pain,疼痛,4
achiever,/əˈtʃivɝ/,a successful person,成就者,1
Achilles' heel,,a fault which causes failure,阿喀琉斯之踵,1
acid,/ˈæsəd/,sharp and critical in tone,酸,4
acidity,/əˈsɪdəti/,a chemical term,酸度,4
acidification,/əˌsɪdəfəˈkeɪʃən/,a science term,酸化,1
acknowledgment,/ækˈnɑɫɪdʒmənt/,the act of accepting,致谢,1
acme,/ˈækmi/,the highest point,极致,2
acne,/ˈækni/,a skin condition with pimples,粉刺,2
acolyte,/ˈækəˌɫaɪt/,one who follows a leader,侍僧,1
acorn,/ˈeɪkɔɹn/,the nut of an oak tree,橡子,2
acoustics,/əˈkustɪks/,the sound qualities of a room,声学,2
acquaintance,/əˈkweɪntəns/,one who is known but not close,熟人,4
acquaintanceship,/əˈkweɪntənsʃɪp/,state of knowing one a little,相识,1
acquiescence,/ˌækwiˈɛsəns/,agreement with a statement,默认,1
acquired immune deficiency syndrome,,a serious disease,获得性免疫缺陷综合征,1
acquisition,/ˌækwəˈzɪʃən/,a thing one has gotten,获得,4
acquisitiveness,,a strong desire to have,占有欲,1
acquittal,/əˈkwɪtəɫ/,act of saying one is not guilty,开释,1
acre,/ˈeɪkɝ/,a measure of land area,英亩,4
acreage,"/ˈeɪkɝɪdʒ/, /ˈeɪkɹədʒ/",land measured in units,面积,1
acrimony,/ˈækɹɪˌmoʊni/,angry feelings,尖刻的,1
acrobat,/ˈækɹəˌbæt/,one who performs,杂技演员,2
acrobatics,/ˌækɹəˈbætɪks/,difficult or dangerous acts,杂技,1
acronym,/ˈækɹənɪm/,a word made from first letters,缩写词,1
acrylic,/əˈkɹɪɫɪk/,a kind of paint for artists,丙烯酸纤维,1
get into the act,,to begin participating,开始行动,1
in the act (of doing something),,while doing,在（做某事）的行为中,1
activation,/ˌæktəˈveɪʃən/,the act of causing activity,激活,3
activist,"/ˈæktəvəst/, /ˈæktɪvɪst/",one working for social change,活动家,4
activism,/ˈæktɪˌvɪzəm/,policy of taking direct action,激进主义,1
actress,/ˈæktɹəs/,a female actor,演员,5
actuality,/ˌæktʃuˈæɫəˌti/,something that is real,现实,2
actuary,/ˈæktʃuˈɛˌɹi/,one who calculates risk,精算师,1
acuity,/əkˈjuəti/,ability to understand easily,敏锐度,1
acumen,/əkˈjumən/,ability to make good decisions,敏锐,1
acupressure,,a method of treating illness,指压法,1
acupuncture,/ˈækjuˌpəŋktʃɝ/,a method of reducing pain,针刺,4
acuteness,/əkˈjutnəs/,quality of having a sharp edge,敏锐度,1
adage,"/ˈædədʒ/, /ˈædɪdʒ/",an old and famous saying,谚语,2
adagio,/əˈdɑʒiˌoʊ/,a slow piece of music,慢板,1
adamance,,a kind of determination,坚定,1
adaptability,/əˌdæptəˈbɪɫəti/,the ability to change,适应性,1
adaptation,/ˌædəpˈteɪʃən/,something that is changed,适应,4
adapter,/əˈdæptɝ/,a device to connect two things,适配器,1
addendum,/əˈdɛndəm/,something that is attached,附录,2
adder,/ˈædɝ/,a type of snake,加法器,1
addict,"/ˈæˌdɪkt/, /əˈdɪkt/",one unable to stop using drugs,瘾君子,4
addiction,/əˈdɪkʃən/,a very great interest,瘾,4
additive,"/ˈædətɪv/, /ˈædɪtɪv/",an added substance,添加剂,1
form/term of address,,a term used to address one,称呼的形式/用语,1
addressee,/ˌædɹɛˈsi/,one to whom mail is directed,收件人,1
adenoids,/ˈædəˌnɔɪdz/,a mass of tissue in the throat,腺样体,2
adeptness,,a state of great skill,熟练程度,1
adept,/əˈdɛpt/,a highly skilled person,熟练的,3
adequacy,/ˈædəkwəsi/,the ability to meet a need,充分性,4
adherence,/ədˈhɪɹəns/,act of doing what is required,坚持,4
adherent,/ədˈhɪɹənt/,one who supports a system,依附者,1
adhesion,/ædˈhiʒən/,the act of sticking to,附着力,3
adhesive,"/ædˈhisɪv/, /ədˈhisɪv/",designed to stick to something,粘合剂,2
adieu,/əˈdu/,goodbye,再见,1
adjective,/ˈædʒɪktɪv/,a word describing a noun,形容词,4
adjournment,/əˈdʒɝnmənt/,the ending of a meeting,休会,1
adjudication,/əˌdʒudəˈkeɪʃən/,final judgment in a legal act,裁决,3
adjudicator,,one who settles conflicts,裁决者,1
adjunct,/ˈæˌdʒəŋkt/,added to a teaching staff,附件,1
adjuster,/əˈdʒəstɝ/,one who investigates claims,调节器,1
adjutant,/ˈædʒətənt/,army officer who helps seniors,副官,2
adman,/ˈædmən/,a man who writes or sells ads,广告人,1
admin,/ˈædmɪn/,the management of a business,行政,1
administrator,/ədˈmɪnəˌstɹeɪtɝ/,one who manages,行政人员,3
admiral,/ˈædmɝəɫ/,a senior officer,上将,3
admiralty,/ˈædmɝəɫti/,the office of one in charge,金钟,1
admiration,/ˌædmɝˈeɪʃən/,a feeling of great respect,钦佩,4
admirer,/ædˈmaɪɹɝ/,one who supports someone,爱慕者,2
admission,"/ædˈmɪʃən/, /ədˈmɪʃən/",permission to enter a place,入场,4
admittance,/ədˈmɪtəns/,permission to enter,准入,4
admixture,,something formed by mixing,混合物,1
admonishment,/ædˈmɑnɪʃmɛnt/,a firm criticism,警告,1
admonition,/ˌædməˈnɪʃən/,a criticism or warning,警告,2
ado,/əˈdu/,foolish or unnecessary talk,废话,2
adobe,/əˈdoʊbi/,a type of building block,土坯,2
adolescence,"/ˌædəˈɫɛsəns/, /ˌædoʊˈɫɛsəns/",time when one becomes an adult,青春期,4
adolescent,"/ˌædəˈɫɛsənt/, /ˌædoʊˈɫɛsənt/",one who is becoming an adult,青少年,4
adoption,/əˈdɑpʃən/,act of starting to use or have,采用,4
adoration,/ˌædɝˈeɪʃən/,strong feelings of love,崇拜,2
adornment,/əˈdɔɹnmənt/,thing added to make attractive,装饰,1
adrenaline,/əˈdɹɛnəɫən/,substance released in the body,肾上腺素,2
adroitness,,performance that has skill,熟练程度,1
adulation,/ˌædʒəˈɫeɪʃən/,extreme praise,奉承,1
adulthood,/əˈdəɫtˌhʊd/,the state of being mature,成年期,4
adulteration,/əˌdəɫtɝˈeɪʃən/,the act of adding a substance,掺假,1
adulterer,/əˈdəɫtɝɝ/,married person who isn't true,奸夫,1
adulteress,,woman who has sex with another man,奸妇,1
adultery,/əˈdəɫtɝi/,sex outside a relationship,通奸,3
advancer,/ədˈvænsɝ/,one who moves forward,推进者,1
advancement,/ədˈvænsmənt/,the act of moving forward,进步,4
advent,/ˈædˌvɛnt/,a period before Christmas,来临,4
adventurer,"/ædˈvɛntʃɝɝ/, /ədˈvɛntʃɝɝ/",one who likes danger and excitement,冒险家,4
adventurism,/ædˈvɛntʃɝˌɪzəm/,a risk taking attitude,冒险主义,1
adverb,/ˈædvɝb/,a grammar term,副词,4
adversary,/ˈædvɝˌsɛɹi/,an enemy or opponent,对手,4
adversity,"/ædˈvɝsɪˌti/, /ədˈvɝsɪti/",a difficult situation,逆境,4
advert,/ˈædvɝt/,a notice to sell or announce,广告,3
advertiser,/ˈædvɝˌtaɪzɝ/,one promoting a business,广告商,1
advertising,/ˈædvɝˌtaɪzɪŋ/,written or spoken announcements,广告,5
advisability,/ˌædˌvaɪzəˈbɪɫɪti/,the quality of being proper,适宜性,1
take (something) under advisement,,to consider carefully,接受（某事）的建议,1
advisory,/ædˈvaɪzɝi/,report that gives information,咨询,4
advocacy,/ˈædvəkəsi/,the act of supporting a cause,宣传,4
adze,,a curved wood cutting tool,锛,1
aegis,/ˈidʒəs/,the power to protect,宙斯盾,1
aeration,,process of exposing to air,通风,1
aerial,/ˈɛɹiəɫ/,performing using a plane,天线,4
aerie,/ˈɛɹi/,building on a great height,鹰巢,1
aerobatics,/ˌɛɹəˈbætɪks/,tricks performed with aircraft,特技飞行,1
aerobics,/ɝˈoʊbɪks/,a type of exercise,有氧运动,2
aerodynamics,/ˌɛɹoʊdaɪˈnæmɪks/,the qualities of air movement,空气动力学,2
aeronautics,/ˌɛɹəˈnɔtɪks/,science that deals with planes,航空学,1
aeroplane,,an aircraft,飞机,4
aerosol,/ˈɛɹəˌsɑɫ/,a substance under pressure,气雾剂,2
aerospace,/ˈɛɹoʊˌspeɪs/,the space flight industry,航天,3
aesthete,/ˈɛsθit/,one who values art and beauty,审美家,1
aesthetic,/ɛsˈθɛtɪk/,the study of beauty,审美的,4
affability,,a friendly nature,亲切,1
affectation,/ˌæfɛkˈteɪʃən/,behavior meant to impress,做作,1
affection,/əˈfɛkʃən/,a feeling of liking someone,感情,4
affidavit,/ˌæfəˈdeɪvət/,a written and signed report,宣誓书,3
affiliate,"/əˈfɪɫiˌeɪt/, /əˈfɪɫiət/",member of a larger network,附属机构,4
affiliation,/əˌfɪɫiˈeɪʃən/,state of belonging to a group,联系,4
affinity,"/əˈfɪnəti/, /əˈfɪnɪti/",a quality that connects people,亲和力,3
affirmation,/ˌæfɝˈmeɪʃən/,a statement of truth,肯定,4
affix,"/ˈæfɪks/, /əˈfɪks/",to attach,词缀,4
affliction,/əˈfɫɪkʃən/,something that causes pain,痛苦,1
affluence,/ˈæfɫuəns/,great wealth,富裕,4
afforestation,,process of planting a forest,造林,1
affray,,a loud fight in a public place,斗殴,1
affront,/əˈfɹənt/,to show a lack of respect,冒犯,2
afghan,/ˈæfˌɡæn/,a blanket made of wool,阿富汗,1
Afghan,/ˈæfˌɡæn/,a kind of dog,阿富汗,1
Afghan hound,,a type of dog,阿富汗猎犬,1
aficionado,/əˌfiʃjəˈnɑˌdoʊ/,one who knows a lot about,爱好者,1
Afrikaans,/ˌæfɹəˈkɑnz/,a type of language,南非荷兰语,1
Afrikaner,/ˌæfɹəˈkɑnɝ/,person from South Africa,南非荷兰语,1
Afro,/ˈæfɹoʊ/,a type of a hairstyle,非洲式,1
afterbirth,,tissue passed after giving birth,胞衣,1
aftercare,,treatment for people who leave,善后护理,1
aftereffect,/ˈæftɝəˌfɛkt/,a delayed effect,后劲,1
afterglow,/ˈæftɝˌɡɫoʊ/,a happy feeling,余辉,2
afterlife,/ˈæftɝˌɫaɪf/,the life one has after death,来世,2
aftermath,/ˈæftɝˌmæθ/,the time after a bad event,后果,4
afters,,sweet food after the main meal,之后,1
aftershave,/ˌæftɝˈʃeɪv/,liquid for a man's smooth face,须后水,1
aftershock,/ˈæftɝˌʃɑk/,a small movement of the Earth,余震,1
aftertaste,/ˈæftɝˌteɪst/,a taste that remains,回味,1
afterthought,"/ˈæftɝˌθɑt/, /ˈæftɝˌθɔt/",a second thought,事后的想法,2
afterword,,a final part of a book,后记,1
agate,/ˈæɡət/,a very hard stone,玛瑙,1
in a coon's age,,in a very long time,在浣熊的年龄,1
agedness,,quality of old age,衰老,1
ageism,,unfair treatment of old people,年龄歧视,1
agelessness,,quality of lasting forever,不老,1
through the agency of,,by using the help of,通过代理,1
agenda,/əˈdʒɛndə/,a guiding plan,议程,5
the age of consent,,age when one can marry,同意年龄,1
agglomeration,/əˌɡɫɑmɝˈeɪʃən/,a collection of things,集聚,1
aggrandizement,"/ˈæɡɹənˌdaɪzmənt/, /əˈɡɹænˌdaɪzmənt/",increase in importance,强化,1
aggravation,/ˌæɡɹəˈveɪʃən/,something that bothers someone,加重,4
aggregation,/ˌæɡɹəˈɡeɪʃən/,the act of gathering together,聚合,1
aggregate,"/ˈæɡɹəɡeɪt/, /ˈæɡɹəɡət/, /ˈæɡɹəɡɪt/",a total amount,总计的,4
aggression,/əˈɡɹɛʃən/,angry or violent behavior,侵略,4
aggressiveness,/əˈɡɹɛsɪvnəs/,quality of being daring,攻击性,1
aggressor,/əˈɡɹɛsɝ/,one who attacks others,侵略者,2
aggro,,something that bothers someone,仇恨,1
agility,/əˈdʒɪɫəti/,state of being quick and skilled,敏捷,2
agitation,/ˌædʒəˈteɪʃən/,a disturbed state,搅动,4
agitator,/ˈædʒəˌteɪtɝ/,a device for stirring,搅拌器,1
AGM,,an official annual meeting,年度股东大会,1
agnostic,/æɡˈnɑstɪk/,one who is not sure about God,不可知论者,1
agnosticism,,lack of a belief in a god,不可知论,1
agony,/ˈæɡəni/,extreme pain,痛苦,4
agoraphobia,/əˌɡɔɹəˈfoʊbiə/,fear of being in open places,广场恐惧症,1
agreeableness,,a pleasant quality,宜人性,1
agribusiness,/ˈæɡɹəˌbɪznəs/,a company engaged in farming,农业综合企业,1
agriculture,/ˈæɡɹɪˌkəɫtʃɝ/,the science of farming,农业,4
agriculturist,,one involved in farming,农学家,1
agriculturalist,/ˌæɡɹəˈkəɫtʃɝəɫəst/,one involved in farming,农学家,1
agronomy,/əˈɡɹɑnəˌmɪ/,science that deals with farming,农艺学,1
agronomist,/əˈɡɹɑnəmɪst/,an expert in soil management,农学家,1
aide,/ˈeɪd/,one who assists another,助手,4
aileron,/ˈeɪɫɝˌɑn/,a part of a plane's wing,副翼,1
ailment,/ˈeɪɫmənt/,an illness,病痛,4
aimlessness,,the quality of lacking purpose,漫无目的,1
floating on air,,feeling very happy,漂浮在空中,1
up in the air,,not yet settled,在空中,1
air bed,,a bed filled with air,气床,1
airbrush,,to paint with a spraying device,喷枪,1
airdrop,/ˈɛɹdɹɑp/,delivery of supplies via plane,空投,1
airfare,/ˈɛɹˌfɛɹ/,price for travel by aircraft,机票,1
airfield,/ˈɛɹˌfiɫd/,a place for planes to land,机场,3
airhead,/ˈɛɹˌhɛd/,a silly and stupid person,空头,2
airlift,/ˈɛɹˌɫɪft/,act of transporting by planes,空运,2
airline,/ˈɛɹˌɫaɪn/,company operating many planes,航空公司,5
airliner,/ˈɛɹˌɫaɪnɝ/,a large passenger aircraft,客机,1
airmail,/ˈɛɹˌmeɪɫ/,system to send mail by plane,航空邮件,1
airman,/ˈɛɹmən/,a member of the military,空军,2
airplane,/ˈɛɹˌpɫeɪn/,an aircraft,飞机,4
airplay,,time during a radio broadcast,播放,1
airship,/ˈɛɹˌʃɪp/,a very large aircraft,飞艇,1
airsickness,,a kind of motion illness,晕机,1
airspace,/ˈɛɹˌspeɪs/,the sky above a country,空域,2
airspeed,/ˈɛɹˌspid/,the speed of an aircraft,空速,1
airstrip,/ˈɛɹˌstɹɪp/,area for planes to take off and land,简易机场,2
airtime,/ˈɛɹˌtaɪm/,time during a radio broadcast,播出时间,1
airwaves,/ˈɛɹˌweɪvz/,broadcasting signals,电波,2
airway,/ˈɛɹˌweɪ/,passage for air in the throat,呼吸道,2
airworthiness,/ˈɛɹˌwɝðinəs/,the state of being fit to fly,适航性,1
airiness,,the quality of being light,通风,1
aisle,"/ˈaɪəɫ/, /ˈaɪɫ/",a passage where people walk,走道,4
walk down the aisle,,to get married,沿着过道走,1
alabaster,/ˈæɫəˌbæstɝ/,a white stone,雪花石膏,2
alacrity,/əˈɫækɹəti/,a quick and happy readiness,敏捷,1
alarmist,"/əˈɫɑɹməst/, /əˈɫɑɹmɪst/",one who spreads fear,危言耸听者,2
alarmism,,warnings that are not needed,危言耸听,1
albatross,/ˈæɫbəˌtɹɑs/,a problem that continues,信天翁,2
albino,/æɫˈbaɪˌnoʊ/,one with pale skin and white hair,白化病,2
albinism,,absence of skin color,白化病,1
albumen,,the white of an egg,蛋白,1
alchemy,/ˈæɫkəmi/,a power that changes a thing,炼金术,2
alchemist,"/ˈæɫtʃəmɪst/, /ˈɑɫkəmɪst/",one who pursued an old science,炼金术士,2
alcoholic,/ˌæɫkəˈhɑɫɪk/,one who drinks too much alcohol,酗酒的,5
alcoholism,/ˈæɫkəˌhɔˌɫɪzəm/,a medical condition,酗酒,2
alcove,/ˈæɫˌkoʊv/,a small section of a room,壁龛,2
alder,/ˈɔɫdɝ/,a type of tree,桤木,1
alderman,"/ˈæɫdɝmən/, /ˈɔɫdɝmən/",an elected member of a town,市议员,2
ale,/ˈeɪɫ/,a drink like beer with alcohol,麦酒,4
alehouse,/ˈeɪɫˌhaʊs/,a place for drinking beer,啤酒馆,1
alertness,/əˈɫɝtnəs/,the state of being aware,警觉,1
alert,/əˈɫɝt/,to warn of danger,警报,4
alfalfa,/ˌæɫˈfæɫfə/,a kind of plant,苜蓿,2
algae,/ˈæɫdʒi/,a type of simple plant,藻类,3
algebra,/ˈæɫdʒəbɹə/,a branch of mathematics,代数,4
algorithm,/ˈæɫɡɝˌɪðəm/,rules to solve a problem,算法,3
alias,/ˈeɪɫiəs/,an additional name,别名,2
alibi,/ˈæɫəˌbaɪ/,evidence that proves innocence,不在场证明,2
alien,/ˈeɪɫiən/,too different,外星人,4
alienation,/ˌeɪɫiəˈneɪʃən/,act of making one unfriendly,异化,4
alignment,/əˈɫaɪnmənt/,state of being in a line,结盟,4
alimony,/ˈæɫəˌmoʊni/,money given to a former partner,赡养费,2
alkali,/ˈæɫkəˌɫaɪ/,a chemical substance,碱,3
alkalinity,/ˌæɫkəˈɫɪnəti/,a chemistry term,碱度,1
Allah,/ˈɑɫə/,used for God in Islam,真主,1
allegation,/ˌæɫəˈɡeɪʃən/,statement about an illegal act,指控,4
allegiance,/əˈɫidʒəns/,loyal to a group or a country,忠诚,3
allegory,/ˈæɫəˌɡɔɹi/,a story with symbols for ideas,寓言,1
allegro,/əˈɫɛˌɡɹoʊ/,music performed in a quick way,快板,1
Allen wrench,,a small tool,内六角扳手,1
allergen,/ˈæɫɝdʒən/,a thing that causes a reaction,过敏原,1
allergist,/ˈæɫɝdʒəst/,a type of medical specialist,过敏症专家,1
allergy,/ˈæɫɝdʒi/,a sensitive physical reaction,过敏,4
alleviation,/əˌɫiviˈeɪʃən/,relief,缓解,4
alley,/ˈæɫi/,a narrow street,胡同,4
up someone's alley,,suited to one's abilities,沿着某人的小巷,1
alleyway,/ˈæɫiˌweɪ/,passage between buildings,小巷,1
All Fools' Day,,a day to play tricks,愚人节,1
as all get-out,,very or extremely,所有人都出去了,1
alliance,/əˈɫaɪəns/,a union between groups,联盟,4
alligator,/ˈæɫəˌɡeɪtɝ/,the skin of a large reptile,鳄鱼,2
alliteration,/əˈɫɪtɝˌeɪʃən/,words beginning with the same sound,头韵,2
allocation,/ˌæɫəˈkeɪʃən/,assigning data to a disc,分配,4
allotment,/əˈɫɑtmənt/,rented land used as a garden,分配,4
allowance,/əˈɫaʊəns/,an adjustment for differences,津贴,4
alloy,/ˈæˌɫɔɪ/,a combination of metals,合金,4
allspice,/ˈɔɫˌspaɪs/,a type of seasoning,多香果,1
allure,/əˈɫʊɹ/,power to attract,引诱,4
allusion,/əˈɫuʒən/,a statement that refers to,典故,4
ally,"/ˈæɫaɪ/, /əˈɫaɪ/",to join with another for support,盟友,4
almanac,/ˈɑɫməˌnæk/,annual book of data,年历,1
almond,/ˈɑmənd/,nut that has a sweet taste,杏仁,2
almoner,/ˈɑɫmənɝ/,a social worker in a hospital,阿尔莫纳,1
alms,"/ˈɑɫmz/, /ˈɑmz/",gifts given to the poor,施舍,1
almshouse,,building where the poor live,救济院,1
aloe,/ˈæˌɫoʊ/,a plant with heavy leaves,芦荟,2
aloofness,/əˈɫufnəs/,state of emotional distance,冷漠,1
alpaca,/æɫˈpækə/,a kind of animal,羊驼毛,1
alpha,/ˈæɫfə/,to describe the first version,α,2
the alpha and omega,,the most important part of,阿尔法和欧米伽,1
alphabet,/ˈæɫfəˌbɛt/,the letters of a language,字母,4
alphabetization,/ˌæɫfəˌbɛtəˈzeɪʃən/,the act of putting in order,按字母顺序排列,1
Alsatian,/æɫˈseɪʃən/,a large dog used by police,阿尔萨斯,1
altar,/ˈɔɫtɝ/,table used in church services,坛,3
led to the altar,,to get married,带领到祭坛,1
left at the altar,,to be left on a wedding day,留在祭坛上,1
alteration,/ˌɔɫtɝˈeɪʃən/,the act of changing something,改造,4
altercation,/ˌɑɫtɝˈkeɪʃən/,an angry argument,争吵,2
alter ego,,different version of yourself,另一个自我,1
alternation,/ˈɔɫtɝˌneɪʃən/,change from a state to another,交替,4
alternate,"/ˈɔɫtɝˌneɪt/, /ˈɔɫtɝnət/",a substitute,备用,4
alternator,/ˈɔɫtɝˌneɪtɝ/,device that makes electricity,交流发电机,2
altimeter,/æɫˈtɪmətɝ/,device to measure high heights,高度表,1
